010.026.001.000|010.026.001.255|新6#学生公寓1层西侧||
010.026.002.000|010.026.002.255|新6#学生公寓1层北侧||
010.026.003.000|010.026.003.255|新6#学生公寓2层西侧||
010.026.004.000|010.026.004.255|新6#学生公寓2层北侧||
010.026.005.000|010.026.005.255|新6#学生公寓3层西侧||
010.026.006.000|010.026.006.255|新6#学生公寓3层北侧||
010.026.007.000|010.026.007.255|新6#学生公寓4层西侧||
010.026.008.000|010.026.008.255|新6#学生公寓4层北侧||
010.026.009.000|010.026.009.255|新6#学生公寓5层西侧||
010.026.010.000|010.026.010.255|新6#学生公寓5层北侧||
010.026.011.000|010.026.011.255|新6#学生公寓6层西侧||
010.026.012.000|010.026.012.255|新6#学生公寓6层北侧||
010.026.013.000|010.026.013.255|新6#学生公寓7层西侧||
010.026.014.000|010.026.014.255|新6#学生公寓7层北侧||
010.026.015.000|010.026.015.255|新6#学生公寓8层西侧||
010.026.016.000|010.026.016.255|新6#学生公寓8层北侧||
010.026.017.000|010.026.017.255|新6#学生公寓9层西侧||
010.026.018.000|010.026.018.255|新6#学生公寓9层北侧||
010.026.019.000|010.026.019.255|新6#学生公寓10层西侧||
010.026.020.000|010.026.020.255|新6#学生公寓10层北侧||
010.026.021.000|010.026.021.255|新6#学生公寓11层西侧||
010.026.022.000|010.026.022.255|新6#学生公寓11层北侧||
010.026.023.000|010.026.023.255|新6#学生公寓12层西侧||
010.026.024.000|010.026.024.255|新6#学生公寓12层北侧||
010.026.025.000|010.026.025.255|新6#学生公寓13层西侧||
010.026.026.000|010.026.026.255|新6#学生公寓13层北侧||
010.026.027.000|010.026.027.255|新6#学生公寓14层西侧||
010.026.028.000|010.026.028.255|新6#学生公寓14层北侧||
010.026.029.000|010.026.029.255|新6#学生公寓15层西侧||
010.026.030.000|010.026.030.255|新6#学生公寓15层北侧||
010.026.031.000|010.026.255.255|未使用||
010.027.000.000|010.029.255.255|未知||
010.030.000.000|010.030.009.255|出版楼（新一南侧）||
010.030.010.000|010.030.010.255|出版楼一层（新一南侧）||
010.030.011.000|010.030.019.255|出版楼（新一南侧）||
010.030.020.000|010.030.020.255|出版楼一层（新一南侧）||
010.030.021.000|010.030.029.255|出版楼（新一南侧）||
010.030.030.000|010.030.030.255|出版楼二层（新一南侧）||
010.030.031.000|010.030.039.255|出版楼（新一南侧）||
010.030.040.000|010.030.040.255|出版楼二层（新一南侧）||
010.030.041.000|010.030.049.255|出版楼（新一南侧）||
010.030.050.000|010.030.050.255|出版楼三层（新一南侧）||
010.030.051.000|010.030.059.255|出版楼（新一南侧）||
010.030.060.000|010.030.060.255|出版楼三层（新一南侧）||
010.030.061.000|010.030.069.255|出版楼（新一南侧）||
010.030.070.000|010.030.070.255|出版楼四层（新一南侧）||
010.030.071.000|010.030.079.255|出版楼（新一南侧）||
010.030.080.000|010.030.080.255|出版楼四层（新一南侧）||
010.030.081.000|010.030.255.255|出版楼（新一南侧）||
010.031.000.000|010.031.009.255|5#教学楼||
010.031.010.000|010.031.010.255|5#教学楼一层||
010.031.011.000|010.031.019.255|5#教学楼||
010.031.020.000|010.031.020.255|5#教学楼二层||
010.031.021.000|010.031.029.255|5#教学楼||
010.031.030.000|010.031.030.255|5#教学楼三层||
010.031.031.000|010.031.039.255|5#教学楼||
010.031.040.000|010.031.040.255|5#教学楼四层||
010.031.041.000|010.031.049.255|5#教学楼||
010.031.050.000|010.031.050.255|5#教学楼五层||
010.031.051.000|010.031.059.255|5#教学楼||
010.031.060.000|010.031.060.255|5#教学楼六层||
010.031.061.000|010.031.069.255|5#教学楼||
010.031.070.000|010.031.070.255|5#教学楼七层||
010.031.071.000|010.031.079.255|5#教学楼||
